FIPS,Name,State,County Name,Final County Name
1001,Autauga,AL,Autauga County,Autauga County
1003,Baldwin,AL,Baldwin County,Baldwin County
1005,Barbour,AL,Barbour County,Barbour County
1007,Bibb,AL,Bibb County,Bibb County
1009,Blount,AL,Blount County,Blount County
1011,Bullock,AL,Bullock County,Bullock County
1013,Butler,AL,Butler County,Butler County
1015,Calhoun,AL,Calhoun County,Calhoun County
1017,Chambers,AL,Chambers County,Chambers County
1019,Cherokee,AL,Cherokee County,Cherokee County
1021,Chilton,AL,Chilton County,Chilton County
1023,Choctaw,AL,Choctaw County,Choctaw County
1025,Clarke,AL,Clarke County,Clarke County
1027,Clay,AL,Clay County,Clay County
1029,Cleburne,AL,Cleburne County,Cleburne County
1031,Coffee,AL,Coffee County,Coffee County
1033,Colbert,AL,Colbert County,Colbert County
1035,Conecuh,AL,Conecuh County,Conecuh County
1037,Coosa,AL,Coosa County,Coosa County
1039,Covington,AL,Covington County,Covington County
1041,Crenshaw,AL,Crenshaw County,Crenshaw County
1043,Cullman,AL,Cullman County,Cullman County
1045,Dale,AL,Dale County,Dale County
1047,Dallas,AL,Dallas County,Dallas County
1049,De Kalb,AL,De Kalb County,De Kalb County
1051,Elmore,AL,Elmore County,Elmore County
1053,Escambia,AL,Escambia County,Escambia County
1055,Etowah,AL,Etowah County,Etowah County
1057,Fayette,AL,Fayette County,Fayette County
1059,Franklin,AL,Franklin County,Franklin County
1061,Geneva,AL,Geneva County,Geneva County
1063,Greene,AL,Greene County,Greene County
1065,Hale,AL,Hale County,Hale County
1067,Henry,AL,Henry County,Henry County
1069,Houston,AL,Houston County,Houston County
1071,Jackson,AL,Jackson County,Jackson County
1073,Jefferson,AL,Jefferson County,Jefferson County
1075,Lamar,AL,Lamar County,Lamar County
1077,Lauderdale,AL,Lauderdale County,Lauderdale County
1079,Lawrence,AL,Lawrence County,Lawrence County
1081,Lee,AL,Lee County,Lee County
1083,Limestone,AL,Limestone County,Limestone County
1085,Lowndes,AL,Lowndes County,Lowndes County
1087,Macon,AL,Macon County,Macon County
1089,Madison,AL,Madison County,Madison County
1091,Marengo,AL,Marengo County,Marengo County
1093,Marion,AL,Marion County,Marion County
1095,Marshall,AL,Marshall County,Marshall County
1097,Mobile,AL,Mobile County,Mobile County
1099,Monroe,AL,Monroe County,Monroe County
1101,Montgomery,AL,Montgomery County,Montgomery County
1103,Morgan,AL,Morgan County,Morgan County
1105,Perry,AL,Perry County,Perry County
1107,Pickens,AL,Pickens County,Pickens County
1109,Pike,AL,Pike County,Pike County
1111,Randolph,AL,Randolph County,Randolph County
1113,Russell,AL,Russell County,Russell County
1115,St Clair,AL,St Clair County,St Clair County
1117,Shelby,AL,Shelby County,Shelby County
1119,Sumter,AL,Sumter County,Sumter County
1121,Talladega,AL,Talladega County,Talladega County
1123,Tallapoosa,AL,Tallapoosa County,Tallapoosa County
1125,Tuscaloosa,AL,Tuscaloosa County,Tuscaloosa County
1127,Walker,AL,Walker County,Walker County
1129,Washington,AL,Washington County,Washington County
1131,Wilcox,AL,Wilcox County,Wilcox County
1133,Winston,AL,Winston County,Winston County
2013,Aleutians East,AK,Aleutians East County,Aleutians East County
2016,Aleutians West,AK,Aleutians West County,Aleutians West County
2020,Anchorage,AK,Anchorage County,Anchorage County
2050,Bethel,AK,Bethel County,Bethel County
2060,Bristol Bay,AK,Bristol Bay County,Bristol Bay County
2068,Denali,AK,Denali County,Denali County
2070,Dillingham,AK,Dillingham County,Dillingham County
2090,Fairbanks North Star,AK,Fairbanks North Star County,Fairbanks North Star County
2100,Haines,AK,Haines County,Haines County
2110,Juneau,AK,Juneau County,Juneau County
2122,Kenai Peninsula,AK,Kenai Peninsula County,Kenai Peninsula County
2130,Ketchikan Gateway,AK,Ketchikan Gateway County,Ketchikan Gateway County
2150,Kodiak Island,AK,Kodiak Island County,Kodiak Island County
2164,Lake and Peninsula,AK,Lake and Peninsula County,Lake and Peninsula County
2170,Matanuska-Susitna,AK,Matanuska-Susitna County,Matanuska-Susitna County
2180,Nome,AK,Nome County,Nome County
2185,North Slope,AK,North Slope County,North Slope County
2188,Northwest Arctic,AK,Northwest Arctic County,Northwest Arctic County
2201,Prince of Wales-Outer Ketchikan,AK,Prince of Wales-Outer Ketchikan County,Prince of Wales-Outer Ketchikan County
2220,Sitka,AK,Sitka County,Sitka County
2232,Skagway-Hoonah-Angoon,AK,Skagway-Hoonah-Angoon County,Skagway-Hoonah-Angoon County
2240,Southeast Fairbanks,AK,Southeast Fairbanks County,Southeast Fairbanks County
2261,Valdez-Cordova,AK,Valdez-Cordova County,Valdez-Cordova County
2270,Wade Hampton,AK,Wade Hampton County,Wade Hampton County
2280,Wrangell-Petersburg,AK,Wrangell-Petersburg County,Wrangell-Petersburg County
2282,Yakutat,AK,Yakutat County,Yakutat County
2290,Yukon-Koyukuk,AK,Yukon-Koyukuk County,Yukon-Koyukuk County
4001,Apache,AZ,Apache County,Apache County
4003,Cochise,AZ,Cochise County,Cochise County
4005,Coconino,AZ,Coconino County,Coconino County
4007,Gila,AZ,Gila County,Gila County
4009,Graham,AZ,Graham County,Graham County
4011,Greenlee,AZ,Greenlee County,Greenlee County
4012,La Paz,AZ,La Paz County,La Paz County
4013,Maricopa,AZ,Maricopa County,Maricopa County
4015,Mohave,AZ,Mohave County,Mohave County
4017,Navajo,AZ,Navajo County,Navajo County
4019,Pima,AZ,Pima County,Pima County
4021,Pinal,AZ,Pinal County,Pinal County
4023,Santa Cruz,AZ,Santa Cruz County,Santa Cruz County
4025,Yavapai,AZ,Yavapai County,Yavapai County
4027,Yuma,AZ,Yuma County,Yuma County
5001,Arkansas,AR,Arkansas County,Arkansas County
5003,Ashley,AR,Ashley County,Ashley County
5005,Baxter,AR,Baxter County,Baxter County
5007,Benton,AR,Benton County,Benton County
5009,Boone,AR,Boone County,Boone County
5011,Bradley,AR,Bradley County,Bradley County
5013,Calhoun,AR,Calhoun County,Calhoun County
5015,Carroll,AR,Carroll County,Carroll County
5017,Chicot,AR,Chicot County,Chicot County
5019,Clark,AR,Clark County,Clark County
5021,Clay,AR,Clay County,Clay County
5023,Cleburne,AR,Cleburne County,Cleburne County
5025,Cleveland,AR,Cleveland County,Cleveland County
5027,Columbia,AR,Columbia County,Columbia County
5029,Conway,AR,Conway County,Conway County
5031,Craighead,AR,Craighead County,Craighead County
5033,Crawford,AR,Crawford County,Crawford County
5035,Crittenden,AR,Crittenden County,Crittenden County
5037,Cross,AR,Cross County,Cross County
5039,Dallas,AR,Dallas County,Dallas County
5041,Desha,AR,Desha County,Desha County
5043,Drew,AR,Drew County,Drew County
5045,Faulkner,AR,Faulkner County,Faulkner County
5047,Franklin,AR,Franklin County,Franklin County
5049,Fulton,AR,Fulton County,Fulton County
5051,Garland,AR,Garland County,Garland County
5053,Grant,AR,Grant County,Grant County
5055,Greene,AR,Greene County,Greene County
5057,Hempstead,AR,Hempstead County,Hempstead County
5059,Hot Spring,AR,Hot Spring County,Hot Spring County
5061,Howard,AR,Howard County,Howard County
5063,Independence,AR,Independence County,Independence County
5065,Izard,AR,Izard County,Izard County
5067,Jackson,AR,Jackson County,Jackson County
5069,Jefferson,AR,Jefferson County,Jefferson County
5071,Johnson,AR,Johnson County,Johnson County
5073,Lafayette,AR,Lafayette County,Lafayette County
