Final State Abbreviation Standard,Final County,CNT
#FIELD!,#FIELD!,13
#FIELD!,Aguadilla County,14
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,6
#FIELD!,#FIELD!,13
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,7
#FIELD!,#FIELD!,8
#FIELD!,#FIELD!,4
#FIELD!,#FIELD!,10
#FIELD!,Dorado County,11
#FIELD!,Guánica County,8
#FIELD!,#FIELD!,9
#FIELD!,#FIELD!,6
#FIELD!,#FIELD!,17
#FIELD!,#FIELD!,5
#FIELD!,Lares County,5
#FIELD!,Manatí County,17
#FIELD!,Moca County,1
#FIELD!,Mayaguez County,12
#FIELD!,Mayaguez County,5
#FIELD!,#FIELD!,10
#FIELD!,#FIELD!,4
#FIELD!,Morovis County,5
#FIELD!,#FIELD!,10
#FIELD!,#FIELD!,11
#FIELD!,#FIELD!,9
#FIELD!,Sabanetas County,2
#FIELD!,Ponce County,6
#FIELD!,Ponce County,4
#FIELD!,#FIELD!,3
#FIELD!,Naranjito County,8
#FIELD!,Caguas County,10
#FIELD!,Caguas County,6
#FIELD!,Ponce County,6
#FIELD!,#FIELD!,10
#FIELD!,Ponce County,6
#FIELD!,Ponce County,2
#FIELD!,#FIELD!,2
#FIELD!,#FIELD!,4
#FIELD!,Fajardo County,13
#FIELD!,#FIELD!,8
#FIELD!,#FIELD!,15
#FIELD!,#FIELD!,4
#FIELD!,#FIELD!,15
#FIELD!,#FIELD!,7
#FIELD!,#FIELD!,9
#FIELD!,#FIELD!,6
#FIELD!,#FIELD!,8
#FIELD!,Coto Laurel County,2
#FIELD!,#FIELD!,13
#FIELD!,#FIELD!,4
#FIELD!,#FIELD!,9
#FIELD!,#FIELD!,3
#FIELD!,Juana Diaz County,12
#FIELD!,#FIELD!,51
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,5
#FIELD!,#FIELD!,20
#FIELD!,#FIELD!,16
#FIELD!,#FIELD!,4
#FIELD!,#FIELD!,20
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,7
#FIELD!,#FIELD!,2
#FIELD!,#FIELD!,14
#FIELD!,#FIELD!,2
#FIELD!,#FIELD!,8
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,3
#FIELD!,#FIELD!,8
#FIELD!,#FIELD!,11
#FIELD!,#FIELD!,11
#FIELD!,#FIELD!,13
#FIELD!,#FIELD!,23
#FIELD!,#FIELD!,21
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,28
#FIELD!,#FIELD!,11
#FIELD!,#FIELD!,4
#FIELD!,#FIELD!,13
#FIELD!,#FIELD!,21
#FIELD!,#FIELD!,29
#FIELD!,#FIELD!,8
#FIELD!,#FIELD!,22
#FIELD!,#FIELD!,6
#FIELD!,#FIELD!,13
#FIELD!,#FIELD!,3
#FIELD!,#FIELD!,14
#FIELD!,#FIELD!,3
#FIELD!,#FIELD!,20
#FIELD!,#FIELD!,5
#FIELD!,#FIELD!,12
#FIELD!,#FIELD!,16
#FIELD!,#FIELD!,7
#FIELD!,#FIELD!,9
#FIELD!,#FIELD!,7
#FIELD!,#FIELD!,14
MA,Hampden County,263
MA,Hampshire County,92
MA,Hampshire County,15
MA,Worcester County,33
#FIELD!,#FIELD!,1
MA,Hampshire County,106
MA,Hampden County,6
MA,Hampden County,5
MA,Hampden County,15
MA,Hampden County,4
MA,Hampshire County,1
MA,Hampden County,383
MA,Hampden County,467
MA,Hampden County,13
MA,Hampshire County,1
MA,Hampshire County,95
MA,Hampden County,101
MA,Berkshire County,3
MA,Hampden County,105
MA,Worcester County,8
MA,Hampshire County,4
MA,Hampshire County,65
MA,Hampden County,160
MA,Hampshire County,50
MA,Hampden County,23
MA,Worcester County,49
MA,Hampshire County,5
MA,Hampshire County,3
MA,Hampden County,448
MA,Hampshire County,16
#FIELD!,#FIELD!,1
MA,Hampshire County,6
MA,Franklin County,2
MA,Hampden County,137
MA,Hampden County,28
MA,Hampshire County,79
MA,Hampshire County,36
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,1
MA,Hampshire County,1
SN,#FIELD!,2
MA,Worcester County,10
MA,Hampden County,69
MA,Hampshire County,3
MA,Hampden County,2
MA,Franklin County,2
MA,Hampshire County,16
#FIELD!,#FIELD!,3
MA,Hampshire County,96
MA,Hampden County,85
#FIELD!,#FIELD!,5
MA,Hampden County,19
MA,Hampden County,6
MA,Hampshire County,183
MA,Worcester County,19
MA,Hampden County,378
MA,Hampden County,3
MA,Hampshire County,3
MA,Hampden County,410
MA,Worcester County,8
MA,Hampden County,75
MA,Hampshire County,1
MA,Hampshire County,24
MA,Hampden County,129
MA,Hampden County,670
MA,Hampden County,282
MA,Hampden County,80
MA,Hampden County,246
MA,Hampden County,441
MA,Hampden County,727
MA,Hampden County,229
MA,Hampden County,276
MA,Hampden County,49
MA,Hampden County,130
#FIELD!,#FIELD!,1
MA,Hampden County,3
MA,Hampden County,172
MA,Berkshire County,541
MA,Berkshire County,98
MA,Berkshire County,2
MA,Berkshire County,3
